Total iteration; 10
Total Residual: 7.44088e-19
10 0.000117
Total iteration; 23
Total Residual: 7.34485e-10
100 0.00029
Total iteration; 29
Total Residual: 7.93646e-10
1000 0.003153
Total iteration; 34
Total Residual: 3.33661e-10
10000 0.035175
